Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
"Скелет ископаемого южного слона Archidiskodon meridionalis Nesti,1825 г. Геологический возраст – нижний плейстоцен. Найден в балке Твердова, в окр. пос. Равнинный Новоалександровского района Ставропольского края, 2007 г.",,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,, 2007 г.,,,,"Длина - 377см., Высота - 393 см.",,1,"[{""id"":10747774,""code"":""10747774"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/10747774""}]",12692289,2018-07-03T09:15:16.274Z,,СГМЗ ОФ 39892,12807978,,,,,,,,,,,,,2007-01-01T12:00:00.000Z,,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Астрагал – кость левой стопы ископаемого слонообразного животного.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,Геологический возраст - поздний миоцен,,,,"6,8х11х9,5 см","Окаменелость. Фоссилизация полная. Геологический возраст - поздний миоцен. Обнаружен в карьере в окрестностях г. Солнечнодольска, 2009 г.",1,"[{""id"":11435138,""code"":""11435138"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/11435138""}]",13162266,2018-08-14T08:17:29.301Z,,СГМЗ ОФ 39308,13289475,,,,,,,,,,,,,,,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Череп молодого слона. Бивни.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,нач.20 в.,,,,"Череп: 55х25х50 см. Бивни: 1) 63,5х5,3x17 см 2)  66,8x5,5x19 см",,1,"[{""id"":15657670,""code"":""15657670"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""imageNumber"":null,""imageDate"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/15657670""},{""id"":15657673,""code"":""15657673"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""imageNumber"":null,""imageDate"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/15657673""},{""id"":15657672,""code"":""15657672"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""imageNumber"":null,""imageDate"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/15657672""},{""id"":15657671,""code"":""15657671"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""imageNumber"":null,""imageDate"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/15657671""}]",16193205,2019-03-07T08:05:33.859Z,,СГМЗ ОФ 9314,16320146,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
"Фрагмент левой половины нижней челюсти с заднекоренным зубом m 3 ископаемого слона Archidiskodon meridionalis rumanus. 2,5-3,1 млн. лет. Зуб имеет 9 пластин с талонами.",,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1968 г.,окр.ст. Новотроицкой Изобильненского р-на,,,"47х28х18,7 см см",Найден в 1968 г.в окр.ст. Новотроицкой Изобильненского р-на в карьере на второй надпойменной террасе р. Егорлык.,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/30816406""}]",27075924,2021-01-15T07:31:57.942Z,,СГМЗ ОФ 37797,27224611,,,,,,,,,,,,,1968-01-01T12:00:00.000Z,,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Зуб южного слона.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"14,3x7,3 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31338583""}]",27414859,2021-02-04T06:08:07.133Z,,СГМЗ ОФ 7238,27564112,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Коренной зуб ископаемого слонообразного. 1953.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1953 г.,,,,"18,0x7,9 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31338589""}]",27414853,2021-02-04T06:08:07.133Z,,СГМЗ ОФ 7732,27564127,,,,,,,,,,,,,1953-01-01T12:00:00.000Z,,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Зуб южного слона.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"8,9x7,1 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31338591""}]",27414851,2021-02-04T06:08:07.133Z,,СГМЗ ОФ 7216,27564132,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Зуб южного слона.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"19,6x9,1 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31338592""}]",27414850,2021-02-04T06:08:07.133Z,,СГМЗ ОФ 7231,27564134,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
Кость южного слона.,,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"28,3x22,4 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31338595""}]",27414847,2021-02-04T06:08:07.133Z,,СГМЗ ОФ 7910,27564141,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
"Зуб южного слона, верхний плиоцен.",,"Государственное бюджетное учреждение культуры Ставропольского края ""Ставропольский государственный историко-культурный и природно-ландшафтный музей-заповедник имени Г.Н.Прозрителева и Г.К.Праве""",1530,111970,2636012848,,1-я пол.20 в.,,,,"4,4x8,9 см",,1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/31341021""}]",27415518,2021-02-04T06:48:16.212Z,,СГМЗ ОФ 8267,27565014,,,,,,,,,,,,,1901-01-01T12:00:00.000Z,1950-01-01T12:00:00.000Z,YEAR,,,,6,предметы естественнонаучной коллекции,10,,,,,,,,
